Date,Tray,SeedID,Geno_Cross,Total_Area(cm),germ_date
2/16/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/16/2016,3,2A41,A - Ws/Col,4.95,1/26/2016
2/16/2016,3,2A61,A - Ws/Col,9.345,1/26/2016
2/16/2016,3,2G31,G - Ler/Col,8.384,1/26/2016
2/16/2016,3,2F41,F - Col/Ler,4.322,1/26/2016
2/16/2016,3,2B31,B - Col/ Ws,1.008,1/26/2016
2/16/2016,3,2C11,C - Ws/Ler,3.096,1/26/2016
2/16/2016,3,2F11,F - Col/Ler,3.886,1/26/2016
2/16/2016,3,2F51,F - Col/Ler,6.719,1/26/2016
2/16/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/16/2016,3,2C41,C - Ws/Ler,10.541,1/26/2016
2/16/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/16/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/16/2016,3,2G11,G - Ler/Col,8.725,1/26/2016
2/16/2016,3,2A31,A - Ws/Col,10.763,1/26/2016
2/16/2016,3,2F61,F - Col/Ler,8.149,1/26/2016
2/16/2016,3,2B21,B - Col/ Ws,8.02,1/26/2016
2/16/2016,3,2D41,D - Ler/ Ws,2.399,1/26/2016
2/16/2016,3,2D51,D - Ler/ Ws,2.705,1/26/2016
2/16/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/16/2016,3,2G51,G - Ler/Col,9.302,1/26/2016
2/16/2016,3,2B41,B - Col/ Ws,7.649,1/26/2016
2/16/2016,3,2F21,F - Col/Ler,9.089,1/26/2016
2/16/2016,3,2G41,G - Ler/Col,8.016,1/26/2016
2/16/2016,3,2B11,B - Col/ Ws,8.584,1/26/2016
2/16/2016,3,2F31,F - Col/Ler,8.487,1/26/2016
2/16/2016,3,2C21,C - Ws/Ler,10.248,1/26/2016
2/16/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/16/2016,3,2C61,C - Ws/Ler,11.634,1/26/2016
2/16/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/16/2016,3,2B51,B - Col/ Ws,7.733,1/26/2016
2/16/2016,3,2C51,C - Ws/Ler,7.673,1/26/2016
2/16/2016,3,2G61,G - Ler/Col,9.364,1/26/2016
2/18/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/18/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/18/2016,3,2C31,C - Ws/Ler,12.099,1/26/2016
2/18/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/18/2016,3,2A41,A - Ws/Col,6.335,1/26/2016
2/18/2016,3,2A61,A - Ws/Col,12.733,1/26/2016
2/18/2016,3,2G31,G - Ler/Col,12.092,1/26/2016
2/18/2016,3,2F41,F - Col/Ler,5.813,1/26/2016
2/18/2016,3,2B31,B - Col/ Ws,1.069,1/26/2016
2/18/2016,3,2C11,C - Ws/Ler,4.451,1/26/2016
2/18/2016,3,2F11,F - Col/Ler,5.292,1/26/2016
2/18/2016,3,2F51,F - Col/Ler,9.743,1/26/2016
2/18/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/18/2016,3,2C41,C - Ws/Ler,14.778,1/26/2016
2/18/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/18/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/18/2016,3,2G11,G - Ler/Col,12.32,1/26/2016
2/18/2016,3,2A31,A - Ws/Col,13.878,1/26/2016
2/18/2016,3,2F61,F - Col/Ler,11.127,1/26/2016
2/18/2016,3,2B21,B - Col/ Ws,11.59,1/26/2016
2/18/2016,3,2D41,D - Ler/ Ws,2.905,1/26/2016
